date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:46:58	85578/85578	---M--	200	added ('OK')	application/javascript	date:Sat,%2022%20Oct%202016%2006:00:42%20GMT	https://www.sikkakaamyagreens.in/js/jquery/jquery-2.2.4.min.js	C:/My%20Web%20Sites/sikkagreens/www.sikkakaamyagreens.in/js/jquery/jquery-2.2.4.min.js	(from https://www.sikkakaamyagreens.in/)
15:46:58	1969/1969	---M--	200	added ('OK')	application/javascript	date:Fri,%2006%20Apr%202018%2014:33:14%20GMT	https://www.sikkakaamyagreens.in/js/classy-nav.min.js	C:/My%20Web%20Sites/sikkagreens/www.sikkakaamyagreens.in/js/classy-nav.min.js	(from https://www.sikkakaamyagreens.in/)
15:46:58	143568/143568	---M--	200	added ('OK')	application/javascript	date:Tue,%2024%20Apr%202018%2012:12:20%20GMT	https://www.sikkakaamyagreens.in/js/plugins.js	C:/My%20Web%20Sites/sikkagreens/www.sikkakaamyagreens.in/js/plugins.js	(from https://www.sikkakaamyagreens.in/)
15:46:58	583/583	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Sep%202021%2005:53:36%20GMT	https://www.sikkakaamyagreens.in/js/jquery-ui.min.js	C:/My%20Web%20Sites/sikkagreens/www.sikkakaamyagreens.in/js/jquery-ui.min.js	(from https://www.sikkakaamyagreens.in/)
15:46:58	5432/5432	---M--	200	added ('OK')	application/javascript	date:Wed,%2025%20Apr%202018%2012:56:40%20GMT	https://www.sikkakaamyagreens.in/js/active.js	C:/My%20Web%20Sites/sikkagreens/www.sikkakaamyagreens.in/js/active.js	(from https://www.sikkakaamyagreens.in/)
15:46:59	32393/32393	---M--	200	added ('OK')	text/css	date:Sat,%2026%20May%202018%2006:58:25%20GMT	https://www.sikkakaamyagreens.in/css-popup/font-awesome.css	C:/My%20Web%20Sites/sikkagreens/www.sikkakaamyagreens.in/css-popup/font-awesome.css	(from https://www.sikkakaamyagreens.in/)
15:46:59	2982/2982	---M--	200	added ('OK')	text/css	date:Sat,%2026%20May%202018%2006:58:24%20GMT	https://www.sikkakaamyagreens.in/css-popup/owl.carousel.css	C:/My%20Web%20Sites/sikkagreens/www.sikkakaamyagreens.in/css-popup/owl.carousel.css	(from https://www.sikkakaamyagreens.in/)
15:46:59	13698/13698	---M--	200	added ('OK')	text/css	date:Thu,%2026%20Dec%202019%2019:33:15%20GMT	https://www.sikkakaamyagreens.in/css-popup/jquery.fancybox.min.css	C:/My%20Web%20Sites/sikkagreens/www.sikkakaamyagreens.in/css-popup/jquery.fancybox.min.css	(from https://www.sikkakaamyagreens.in/)
15:47:00	5963/5963	---M--	200	added ('OK')	application/javascript	date:Sat,%2026%20May%202018%2006:58:21%20GMT	https://www.sikkakaamyagreens.in/js-popup/latae.js	C:/My%20Web%20Sites/sikkagreens/www.sikkakaamyagreens.in/js-popup/latae.js	(from https://www.sikkakaamyagreens.in/)
15:47:00	52302/52302	---M--	200	added ('OK')	application/javascript	date:Sat,%2026%20May%202018%2006:58:21%20GMT	https://www.sikkakaamyagreens.in/js-popup/jquery.fancybox.min.js	C:/My%20Web%20Sites/sikkagreens/www.sikkakaamyagreens.in/js-popup/jquery.fancybox.min.js	(from https://www.sikkakaamyagreens.in/)
15:47:00	1221/1221	---M--	200	added ('OK')	application/javascript	date:Wed,%2029%20Jan%202020%2017:44:25%20GMT	https://www.sikkakaamyagreens.in/js-popup/custom.js	C:/My%20Web%20Sites/sikkagreens/www.sikkakaamyagreens.in/js-popup/custom.js	(from https://www.sikkakaamyagreens.in/)
15:47:00	583/583	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Sep%202021%2005:53:36%20GMT	https://www.sikkakaamyagreens.in/css/animate.css	C:/My%20Web%20Sites/sikkagreens/www.sikkakaamyagreens.in/css/animate.css	(from https://www.sikkakaamyagreens.in/style.css)
15:47:00	97163/97163	---M--	200	added ('OK')	application/javascript	date:Sat,%2026%20May%202018%2006:58:22%20GMT	https://www.sikkakaamyagreens.in/js-popup/jquery.min.js	C:/My%20Web%20Sites/sikkagreens/www.sikkakaamyagreens.in/js-popup/jquery.min.js	(from https://www.sikkakaamyagreens.in/)
15:47:01	4614/4614	---M--	200	added ('OK')	text/css	date:Sun,%2016%20Jul%202017%2017:21:08%20GMT	https://www.sikkakaamyagreens.in/css/owl.carousel.css	C:/My%20Web%20Sites/sikkagreens/www.sikkakaamyagreens.in/css/owl.carousel.css	(from https://www.sikkakaamyagreens.in/style.css)
15:47:01	22840/22840	---M--	200	added ('OK')	text/css	date:Fri,%2017%20Jan%202020%2004:51:36%20GMT	https://www.sikkakaamyagreens.in/css/classy-nav.min.css	C:/My%20Web%20Sites/sikkagreens/www.sikkakaamyagreens.in/css/classy-nav.min.css	(from https://www.sikkakaamyagreens.in/style.css)
15:47:01	5599/5599	---M--	200	added ('OK')	text/css	date:Wed,%2031%20Aug%202016%2013:24:36%20GMT	https://www.sikkakaamyagreens.in/css/magnific-popup.css	C:/My%20Web%20Sites/sikkagreens/www.sikkakaamyagreens.in/css/magnific-popup.css	(from https://www.sikkakaamyagreens.in/style.css)
